sender,receiver,layer,mode,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
qwen_sender,llama32_1b,0,attn_topk,0.14656808972358704,0.21244049072265625,0.0019661188416648656,0.31727349758148193,0.0019731746579054743,0.41649264842271805
qwen_sender,llama32_1b,0,block_saliency,0.04699769616127014,0.04395294189453125,0.00043846450353157707,0.47914206981658936,0.00047747940334375016,0.7695196270942688
qwen_sender,llama32_1b,0,global_important,0.13321661949157715,0.3017425537109375,0.0003011825210705865,0.7938465476036072,0.0003082382718275767,0.8930657207965851
qwen_sender,llama32_1b,0,k_saliency,0.05505725368857384,0.0518646240234375,0.003196984063833952,0.24274258315563202,0.003210520517313853,0.3427233174443245
qwen_sender,llama32_1b,0,union,0.2687893509864807,0.42755889892578125,0.0004229011647112202,0.7026301622390747,0.00042995691546821035,0.801849327981472
qwen_sender,llama32_1b,4,attn_topk,0.16121691465377808,0.24433135986328125,0.013879030710086226,0.5944561958312988,0.013139402493834496,0.7124473005533218
qwen_sender,llama32_1b,4,block_saliency,0.0998619794845581,0.1528778076171875,0.007198066799901426,0.5395478010177612,0.006738568830769509,0.7709619626402855
qwen_sender,llama32_1b,4,global_important,0.1741432249546051,0.33038330078125,0.008563559269532561,0.668988823890686,0.007823931286111474,0.7869800329208374
qwen_sender,llama32_1b,4,k_saliency,0.053740765899419785,0.06976318359375,0.021036750404164195,0.4486517310142517,0.02048511430621147,0.5696219652891159
qwen_sender,llama32_1b,4,union,0.3156312108039856,0.49866485595703125,0.006270558398682624,0.7383419275283813,0.005530930415261537,0.8563331142067909
qwen_sender,llama32_1b,8,attn_topk,0.16144025325775146,0.2579193115234375,0.01689696521498263,0.5972995758056641,0.01615372020751238,0.6935903877019882
qwen_sender,llama32_1b,8,block_saliency,0.1202332079410553,0.1867523193359375,0.017584248445928097,0.5420066714286804,0.015981472097337246,0.6928712204098701
qwen_sender,llama32_1b,8,global_important,0.1311694085597992,0.210784912109375,0.01751684700138867,0.5294090509414673,0.016773601295426488,0.6256998851895332
qwen_sender,llama32_1b,8,k_saliency,0.0695677250623703,0.11507415771484375,0.022531408118084073,0.4823620319366455,0.021833570208400488,0.5847378075122833
qwen_sender,llama32_1b,8,union,0.2772565484046936,0.41845703125,0.011878606746904552,0.6876367330551147,0.011135361506603658,0.7839274778962135
qwen_sender,llama32_1b,12,attn_topk,0.15648867189884186,0.26490020751953125,0.018884351709857583,0.602546215057373,0.018123317509889603,0.6955515816807747
qwen_sender,llama32_1b,12,block_saliency,0.12697254121303558,0.230224609375,0.016434088116511703,0.6221672296524048,0.015556955244392157,0.74077457934618
qwen_sender,llama32_1b,12,global_important,0.13429176807403564,0.25984954833984375,0.018199376296252012,0.6013630628585815,0.0174383413977921,0.6943684369325638
qwen_sender,llama32_1b,12,k_saliency,0.05253586173057556,0.07970428466796875,0.029355691745877266,0.4907958209514618,0.028723614988848567,0.5887004137039185
qwen_sender,llama32_1b,12,union,0.28652626276016235,0.474822998046875,0.012645184877328575,0.6937916874885559,0.011884149862453341,0.7867970988154411
qwen_sender,llama32_1b,15,attn_topk,0.147859126329422,0.253509521484375,0.06732473149895668,0.6163411140441895,0.06380621064454317,0.7167754918336868
qwen_sender,llama32_1b,15,block_saliency,0.08771475404500961,0.11774444580078125,0.05040750512853265,0.5669679641723633,0.04639167385175824,0.756155900657177
qwen_sender,llama32_1b,15,global_important,0.10047957301139832,0.1663665771484375,0.054461563006043434,0.631076455116272,0.051019209902733564,0.7316183894872665
qwen_sender,llama32_1b,15,k_saliency,0.05057069659233093,0.06235504150390625,0.09536835923790932,0.4628494381904602,0.09230455383658409,0.5741895213723183
qwen_sender,llama32_1b,15,union,0.26225546002388,0.39931488037109375,0.040832141414284706,0.7604110240936279,0.03731362195685506,0.8608454391360283
