layers,mode,alpha,full_ce,patched_ce,ce_delta,logit_kl,top1_match
"12,15",static,1.0,1.6590137854218483,1.7170869559049606,0.058073170483112335,0.06707969913259149,0.8834393247961998
"12,15",static,0.75,1.6590137854218483,1.6838114634156227,0.024797677993774414,0.03234164754394442,0.915973573923111
"12,15",static,0.5,1.6590137854218483,1.6662127822637558,0.007198996841907501,0.013211268465965986,0.9433708339929581
"12,15",self_consistent,1.0,1.6590137854218483,1.713469885289669,0.05445609986782074,0.0637431361246854,0.8779354132711887
"12,15",self_consistent,0.75,1.6590137854218483,1.6829726174473763,0.023958832025527954,0.032070790184661746,0.9154843389987946
"12,15",self_consistent,0.5,1.6590137854218483,1.6658862382173538,0.006872452795505524,0.013292419724166393,0.9460616447031498
"8,12,15",static,1.0,1.6590137854218483,1.7719709947705269,0.11295720934867859,0.14861642569303513,0.8292563557624817
"8,12,15",static,0.75,1.6590137854218483,1.7011979520320892,0.042184166610240936,0.06372831552289426,0.8812377564609051
"8,12,15",static,0.5,1.6590137854218483,1.6701667830348015,0.011152997612953186,0.023000582354143262,0.9229452013969421
"8,12,15",self_consistent,1.0,1.6590137854218483,1.7629697397351265,0.1039559543132782,0.13963073678314686,0.8231409005820751
"8,12,15",self_consistent,0.75,1.6590137854218483,1.6976592689752579,0.038645483553409576,0.061456296127289534,0.8813600726425648
"8,12,15",self_consistent,0.5,1.6590137854218483,1.6692843809723854,0.01027059555053711,0.023061654763296247,0.9242905974388123
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",static,1.0,1.6590137854218483,2.257212519645691,0.5981987342238426,0.6768247187137604,0.7173434495925903
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",static,0.75,1.6590137854218483,2.3362782895565033,0.677264504134655,0.7513146921992302,0.6734344437718391
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",static,0.5,1.6590137854218483,2.035638764500618,0.3766249790787697,0.4413676932454109,0.7382583022117615
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",self_consistent,1.0,1.6590137854218483,4.762571424245834,3.103557638823986,3.244874805212021,0.20205479580909014
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",self_consistent,0.75,1.6590137854218483,3.603363662958145,1.9443498775362968,2.0455707013607025,0.36130137369036674
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",self_consistent,0.5,1.6590137854218483,2.118179604411125,0.4591658189892769,0.5478942468762398,0.6484833806753159
