layer,mode,candidate_recall,sender_overlap,route_overlap,route_mrr,route_mass,weight_mse,weight_cosine,candidate_kl
0,no_rerank,1.0,0.8802338639895121,0.8802338639895121,0.31161800026893616,0.7874740163485209,0.00016125704375250885,0.9957740108172098,0.004915108593801658
0,rerank,1.0,0.8802338639895121,0.7588528990745544,0.2909067968527476,0.7881986697514852,0.0001529592409497127,0.9960023959477743,0.004645862616598606
4,no_rerank,1.0,0.8370736440022787,0.8370736440022787,0.30042487382888794,0.8171942631403605,0.004896887733290593,0.916639486948649,0.11416228115558624
4,rerank,1.0,0.8370736440022787,0.6917126178741455,0.2744639714558919,0.8203024466832479,0.0043308794653664036,0.9241206447283427,0.10325465599695842
8,no_rerank,1.0,0.8217741648356119,0.8175232410430908,0.2832033534844716,0.8407715360323588,0.04311379790306091,0.6580690145492554,1.744580348332723
8,rerank,1.0,0.8217741648356119,0.6389973958333334,0.24956507484118143,0.8338896632194519,0.0415241022904714,0.6667273640632629,1.698851227760315
12,no_rerank,1.0,0.8209890723228455,0.8312717080116272,0.28676076730092365,0.8222351670265198,0.08336399743954341,0.4982884923617045,3.7552181084950766
12,rerank,1.0,0.8209890723228455,0.6079771717389425,0.24242370824019113,0.8083582520484924,0.08024900654951732,0.5139673550923666,3.552016019821167
16,no_rerank,1.0,0.8438840309778849,0.8428181211153666,0.2979070842266083,0.9276765982309977,0.11301290740569432,0.4488927324612935,3.6804937521616616
16,rerank,1.0,0.8438840309778849,0.6646943887074789,0.26449833313624066,0.9263583620389303,0.11171514044205348,0.45401163895924884,3.6321075757344565
20,no_rerank,1.0,0.7790224154790243,0.8856847484906515,0.28760958711306256,0.7961100737253824,0.12922356029351553,0.3756559193134308,9.848730087280273
20,rerank,1.0,0.7790224154790243,0.30301522215207416,0.1646119753519694,0.6948848565419515,0.11547309905290604,0.39053762952486676,9.7129545211792
24,no_rerank,1.0,0.9221303264300028,0.9572035868962606,0.30906640489896137,0.8331900238990784,0.12473223110040028,0.41979973514874774,10.467951138814291
24,rerank,1.0,0.9221303264300028,0.2975962509711583,0.15277445316314697,0.6931503017743429,0.10722848276297252,0.4217849274476369,10.244221369425455
27,no_rerank,1.0,0.9184027711550394,0.9528505206108093,0.3111089766025543,0.7932698726654053,0.12443175663550694,0.39819401502609253,10.913464228312174
27,rerank,1.0,0.9184027711550394,0.2625676542520523,0.14974121749401093,0.6000749071439108,0.10041708250840505,0.40491875012715656,10.52651309967041
