layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0,k_norm,366.9765625,0.7167510986328125,0.8500298261642456,0.8552932739257812,0.00010927654966508271,0.8571733236312866,0.00011633230133156758,0.9563925415277481
0,k_norm_x_received,104.60546875,0.20430755615234375,0.5699669718742371,0.6881332397460938,0.0001237005926668644,0.8476917743682861,0.00013075634524284396,0.9469110146164894
0,k_outlier,366.9765625,0.7167510986328125,0.8542953729629517,0.8571395874023438,0.00010887772805290297,0.8573784232139587,0.00011593348608585075,0.9565976038575172
0,local_k_variance,360.1171875,0.7033538818359375,0.800685465335846,0.8143997192382812,0.00010939323965430958,0.8568365573883057,0.00011644899404927855,0.9560557529330254
0,received_mass,77.16796875,0.15071868896484375,0.4979834258556366,0.6284408569335938,0.000131402119222912,0.8431788682937622,0.00013845786997990217,0.9423980861902237
4,k_norm,380.6953125,0.7435455322265625,0.8555054664611816,0.8552093505859375,0.0013149173464626074,0.8574018478393555,0.0005752892320742831,0.9753929823637009
4,k_norm_x_received,137.1875,0.2679443359375,0.667649507522583,0.6859130859375,0.001839010088588111,0.8258265852928162,0.0010993819014402106,0.9438177347183228
4,k_outlier,366.9765625,0.7167510986328125,0.847813606262207,0.8453903198242188,0.0013259551778901368,0.8562201857566833,0.000586326998018194,0.9742113128304482
4,local_k_variance,291.5234375,0.5693817138671875,0.7842232584953308,0.7702255249023438,0.0015456629043910652,0.8447198867797852,0.0008159120843629353,0.9665579721331596
4,received_mass,126.8984375,0.2478485107421875,0.6539454460144043,0.6766510009765625,0.0018808952008839697,0.8213356733322144,0.0011412669846322387,0.9393268749117851
8,k_norm,349.828125,0.683258056640625,0.8325870037078857,0.832122802734375,0.0023096846125554293,0.8549995422363281,0.001566439343150705,0.9512902647256851
8,k_norm_x_received,205.78125,0.40191650390625,0.732101559638977,0.6920928955078125,0.0031871205428615212,0.8258799910545349,0.0024438753607682884,0.9221707507967949
8,k_outlier,360.1171875,0.7033538818359375,0.8429986238479614,0.8406982421875,0.00226815725909546,0.8559468984603882,0.0015249121497618034,0.9522376507520676
8,local_k_variance,260.65625,0.50909423828125,0.7493789792060852,0.734344482421875,0.0027582343900576234,0.8385423421859741,0.0020149894698988646,0.9348330870270729
8,received_mass,181.7734375,0.3550262451171875,0.7030431032180786,0.6490936279296875,0.0036343824467621744,0.8118624687194824,0.002891137235565111,0.9081532061100006
12,k_norm,366.9765625,0.7167510986328125,0.8431313633918762,0.8348159790039062,0.002382846607360989,0.8568560481071472,0.0016218122909776866,0.9498614594340324
12,k_norm_x_received,262.37109375,0.5124435424804688,0.806398868560791,0.7763519287109375,0.002692217443836853,0.84626704454422,0.0019311833748361096,0.9392724484205246
12,k_outlier,356.6875,0.6966552734375,0.8423861861228943,0.8345565795898438,0.0025346787879243493,0.8518722057342529,0.0017736447334755212,0.9448776245117188
12,local_k_variance,246.9375,0.4822998046875,0.7024447321891785,0.7001113891601562,0.003106696793111041,0.8328981399536133,0.002365829626796767,0.9304530695080757
12,received_mass,260.65625,0.50909423828125,0.805108904838562,0.774322509765625,0.0026950244209729135,0.8463797569274902,0.0019339901191415265,0.9393852278590202
15,k_norm,366.9765625,0.7167510986328125,0.7714318037033081,0.7889938354492188,0.014894293621182442,0.8332302570343018,0.011521232780069113,0.9345100969076157
15,k_norm_x_received,301.8125,0.5894775390625,0.8322418332099915,0.8156509399414062,0.006981311133131385,0.8533894419670105,0.0034627893182914704,0.9538238048553467
15,k_outlier,380.6953125,0.7435455322265625,0.8558682203292847,0.8555984497070312,0.006709358189254999,0.8573895692825317,0.003190836403518915,0.9578239247202873
15,local_k_variance,346.3984375,0.6765594482421875,0.6329981088638306,0.65728759765625,0.024290371220558882,0.7994685173034668,0.02154189790599048,0.9115448594093323
15,received_mass,298.3828125,0.5827789306640625,0.8307437896728516,0.8143768310546875,0.006990850844886154,0.8533115386962891,0.0034723291755653918,0.9537458717823029
